,year,song,musician,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,uri,track_href,analysis_url,won_award
0,1959,"""Nel blu, dipinto di blu (Volare)"" *",Domenico Modugno,0.518,0.06,10,-14.887,1,0.0441,0.987,7.87e-06,0.161,0.336,127.87,216373,4,spotify:track:006Ndmw2hHxvnLbJsBFnPx,https://api.spotify.com/v1/tracks/006Ndmw2hHxvnLbJsBFnPx,https://api.spotify.com/v1/audio-analysis/006Ndmw2hHxvnLbJsBFnPx,1
1,1959,Witchcraft,Frank Sinatra,0.481,0.242,0,-11.81,1,0.0373,0.493,0.0,0.137,0.389,116.342,173240,4,spotify:track:3BTsv0FthgmDwyKlYShwJF,https://api.spotify.com/v1/tracks/3BTsv0FthgmDwyKlYShwJF,https://api.spotify.com/v1/audio-analysis/3BTsv0FthgmDwyKlYShwJF,0
2,1959,Fever,Peggy Lee,0.838,0.171,4,-12.614,0,0.0729,0.23,0.0,0.11,0.397,135.925,199600,4,spotify:track:3aPlQWU07jGgyHaBHVS5TS,https://api.spotify.com/v1/tracks/3aPlQWU07jGgyHaBHVS5TS,https://api.spotify.com/v1/audio-analysis/3aPlQWU07jGgyHaBHVS5TS,0
3,1959,Catch a Falling Star,Perry Como,0.7,0.189,7,-15.412,1,0.0795,0.798,0.0,0.136,0.561,119.522,149093,4,spotify:track:1pBJCt9keWDrIQYu51T6py,https://api.spotify.com/v1/tracks/1pBJCt9keWDrIQYu51T6py,https://api.spotify.com/v1/audio-analysis/1pBJCt9keWDrIQYu51T6py,0
4,1960,"""The Battle of New Orleans""",Johnny Horton,0.704,0.743,9,-12.069,1,0.129,0.805,0.0,0.205,0.92,177.362,151507,4,spotify:track:66eFGhs8LXeBgrXk0YgRJK,https://api.spotify.com/v1/tracks/66eFGhs8LXeBgrXk0YgRJK,https://api.spotify.com/v1/audio-analysis/66eFGhs8LXeBgrXk0YgRJK,1
5,1960,Small World,Johnny Mathis,0.248,0.413,4,-9.095,1,0.035,0.658,0.0,0.14,0.313,113.593,200933,3,spotify:track:2DugUShG2wj81Zf51l29Je,https://api.spotify.com/v1/tracks/2DugUShG2wj81Zf51l29Je,https://api.spotify.com/v1/audio-analysis/2DugUShG2wj81Zf51l29Je,0
6,1960,Like Young,André Previn,0.539,0.442,5,-9.332,0,0.0294,0.143,0.0,0.216,0.557,125.632,192308,4,spotify:track:1zXfVG8WTha2af5F27oPnz,https://api.spotify.com/v1/tracks/1zXfVG8WTha2af5F27oPnz,https://api.spotify.com/v1/audio-analysis/1zXfVG8WTha2af5F27oPnz,0
7,1960,I Know,Perry Como,0.283,0.185,0,-12.043,1,0.0345,0.936,0.00296,0.123,0.122,111.136,184707,3,spotify:track:5HVBoRtqnH8ucSm5KFdGYG,https://api.spotify.com/v1/tracks/5HVBoRtqnH8ucSm5KFdGYG,https://api.spotify.com/v1/audio-analysis/5HVBoRtqnH8ucSm5KFdGYG,0
8,1960,High Hopes,Frank Sinatra,0.716,0.213,3,-9.886,1,0.0374,0.806,0.0,0.173,0.721,138.381,162207,4,spotify:track:68sTztCNUapkQL0nEKfrM5,https://api.spotify.com/v1/tracks/68sTztCNUapkQL0nEKfrM5,https://api.spotify.com/v1/audio-analysis/68sTztCNUapkQL0nEKfrM5,0
9,1961,Nice 'n' Easy,Frank Sinatra,0.536,0.148,0,-14.903,1,0.031,0.772,0.0,0.101,0.509,109.295,165760,4,spotify:track:5Z7bkW3dsu8jLdv3dEGxly,https://api.spotify.com/v1/tracks/5Z7bkW3dsu8jLdv3dEGxly,https://api.spotify.com/v1/audio-analysis/5Z7bkW3dsu8jLdv3dEGxly,0
10,1961,He'll Have to Go,Jim Reeves,0.554,0.186,1,-15.846,1,0.0379,0.909,0.00144,0.11,0.2,81.181,138640,3,spotify:track:7DH5dXVuQaqcKf9oTy9oUN,https://api.spotify.com/v1/tracks/7DH5dXVuQaqcKf9oTy9oUN,https://api.spotify.com/v1/audio-analysis/7DH5dXVuQaqcKf9oTy9oUN,0
11,1961,The Second Time Around,Andy Williams,0.25,0.102,9,-16.175,1,0.0334,0.795,0.00015,0.397,0.0769,72.412,199600,3,spotify:track:6FfdklO8R9Q1okEyGGUdaD,https://api.spotify.com/v1/tracks/6FfdklO8R9Q1okEyGGUdaD,https://api.spotify.com/v1/audio-analysis/6FfdklO8R9Q1okEyGGUdaD,0
12,1961,Theme from A Summer Place,Percy Faith,0.326,0.326,0,-15.144,1,0.0297,0.591,0.918,0.494,0.87,186.232,142693,3,spotify:track:6zwvB879PJSpTyFcg2wwnL,https://api.spotify.com/v1/tracks/6zwvB879PJSpTyFcg2wwnL,https://api.spotify.com/v1/audio-analysis/6zwvB879PJSpTyFcg2wwnL,0
13,1962,A Little Bitty Tear,Burl Ives,0.58,0.209,0,-15.516,1,0.0464,0.896,0.243,0.116,0.831,72.103,125400,4,spotify:track:3XhTHMleuyoQCP8jxOeIhD,https://api.spotify.com/v1/tracks/3XhTHMleuyoQCP8jxOeIhD,https://api.spotify.com/v1/audio-analysis/3XhTHMleuyoQCP8jxOeIhD,0
14,1962,"""Moon River"" *",Henry Mancini,0.39,0.0235,5,-19.695,1,0.0345,0.937,0.00128,0.099,0.155,133.403,125585,5,spotify:track:5iGleL7HpEThuuYQ3us2jh,https://api.spotify.com/v1/tracks/5iGleL7HpEThuuYQ3us2jh,https://api.spotify.com/v1/audio-analysis/5iGleL7HpEThuuYQ3us2jh,1
15,1962,Lollipops and Roses,Jack Jones,0.266,0.163,6,-14.202,1,0.0381,0.899,0.000761,0.184,0.14,119.257,246093,4,spotify:track:67JIfYdnRNXSSP1uPRmE2j,https://api.spotify.com/v1/tracks/67JIfYdnRNXSSP1uPRmE2j,https://api.spotify.com/v1/audio-analysis/67JIfYdnRNXSSP1uPRmE2j,0
16,1962,Big Bad John,Jimmy Dean,0.516,0.457,8,-12.609,1,0.184,0.596,0.0,0.106,0.455,173.934,182560,4,spotify:track:61uAY9xdzYiIbYJ07XvKso,https://api.spotify.com/v1/tracks/61uAY9xdzYiIbYJ07XvKso,https://api.spotify.com/v1/audio-analysis/61uAY9xdzYiIbYJ07XvKso,0
17,1963,I Left My Heart in San Francisco,Tony Bennett,0.313,0.078,0,-17.583,1,0.0332,0.955,4.48e-06,0.169,0.125,128.065,170960,4,spotify:track:1bYItjcPRtxZs6Ir71O5RB,https://api.spotify.com/v1/tracks/1bYItjcPRtxZs6Ir71O5RB,https://api.spotify.com/v1/audio-analysis/1bYItjcPRtxZs6Ir71O5RB,0
18,1963,As Long as He Needs Me,Shirley Bassey,0.294,0.147,5,-14.271,1,0.0302,0.964,0.0,0.266,0.166,103.232,182000,3,spotify:track:6mXqStzmjKPA0enSUQCBOv,https://api.spotify.com/v1/tracks/6mXqStzmjKPA0enSUQCBOv,https://api.spotify.com/v1/audio-analysis/6mXqStzmjKPA0enSUQCBOv,0
19,1963,"""What Kind of Fool Am I?""",Sammy Davis Jr.,0.231,0.31,11,-8.959,0,0.0301,0.96,0.000134,0.383,0.161,94.009,202617,4,spotify:track:2ChoPgCQ88DGEDFBwFgZlo,https://api.spotify.com/v1/tracks/2ChoPgCQ88DGEDFBwFgZlo,https://api.spotify.com/v1/audio-analysis/2ChoPgCQ88DGEDFBwFgZlo,1
20,1964,Wives and Lovers,Jack Jones,0.354,0.472,5,-13.215,0,0.0464,0.449,0.0,0.28,0.541,96.026,149040,4,spotify:track:33yeTx321qQCaLyh2nE6BY,https://api.spotify.com/v1/tracks/33yeTx321qQCaLyh2nE6BY,https://api.spotify.com/v1/audio-analysis/33yeTx321qQCaLyh2nE6BY,0
21,1964,"""Days of Wine and Roses"" *",Henry Mancini,0.246,0.171,7,-14.435,0,0.0298,0.852,0.0,0.195,0.205,81.235,126549,4,spotify:track:2sWRC12vYVTHjdTD2WOE4v,https://api.spotify.com/v1/tracks/2sWRC12vYVTHjdTD2WOE4v,https://api.spotify.com/v1/audio-analysis/2sWRC12vYVTHjdTD2WOE4v,1
22,1964,Call Me Irresponsible,Frank Sinatra,0.22,0.181,3,-12.31,1,0.0301,0.931,0.000839,0.107,0.243,86.007,175587,5,spotify:track:0oeM1wuV8lRBJQg3Emvg9c,https://api.spotify.com/v1/tracks/0oeM1wuV8lRBJQg3Emvg9c,https://api.spotify.com/v1/audio-analysis/0oeM1wuV8lRBJQg3Emvg9c,0
23,1964,The Good Life,Tony Bennett,0.182,0.261,10,-13.707,1,0.033,0.88,1.03e-05,0.442,0.206,175.779,134893,5,spotify:track:4MVvSNPOUd2z70vkkNCbLr,https://api.spotify.com/v1/tracks/4MVvSNPOUd2z70vkkNCbLr,https://api.spotify.com/v1/audio-analysis/4MVvSNPOUd2z70vkkNCbLr,0
24,1964,I Wanna Be Around,Tony Bennett,0.383,0.425,0,-7.034,1,0.0358,0.865,1.11e-06,0.159,0.357,82.069,180973,4,spotify:track:2MYXo44cKkRtB4O5Glziw3,https://api.spotify.com/v1/tracks/2MYXo44cKkRtB4O5Glziw3,https://api.spotify.com/v1/audio-analysis/2MYXo44cKkRtB4O5Glziw3,0
25,1965,Who Can I Turn To?,Tony Bennett,0.237,0.238,3,-11.999,1,0.0341,0.927,2.02e-05,0.0543,0.126,112.062,175360,4,spotify:track:2FXk3LhwfbziRcCg8Rp0fN,https://api.spotify.com/v1/tracks/2FXk3LhwfbziRcCg8Rp0fN,https://api.spotify.com/v1/audio-analysis/2FXk3LhwfbziRcCg8Rp0fN,0
26,1965,"""Hello, Dolly!""",Louis Armstrong,0.0,0.405,0,-9.935,1,0.0,0.842,0.00114,0.198,0.0,0.0,147000,0,spotify:track:63kd4m3VFxcJjPVVtbVNAu,https://api.spotify.com/v1/tracks/63kd4m3VFxcJjPVVtbVNAu,https://api.spotify.com/v1/audio-analysis/63kd4m3VFxcJjPVVtbVNAu,1
27,1965,Dear Heart,Andy Williams,0.145,0.242,5,-12.448,1,0.03,0.873,0.0,0.136,0.0971,84.301,175053,3,spotify:track:1zXpbZZZ9Lb81ZrTqOzW1m,https://api.spotify.com/v1/tracks/1zXpbZZZ9Lb81ZrTqOzW1m,https://api.spotify.com/v1/audio-analysis/1zXpbZZZ9Lb81ZrTqOzW1m,0
28,1965,People,Barbra Streisand,0.481,0.436,7,-8.299,1,0.0281,0.768,3.26e-05,0.0975,0.27,95.105,254853,4,spotify:track:0s7UEtczBGK68zYCi1y6W8,https://api.spotify.com/v1/tracks/0s7UEtczBGK68zYCi1y6W8,https://api.spotify.com/v1/audio-analysis/0s7UEtczBGK68zYCi1y6W8,0
29,1965,A Hard Day's Night,The Beatles,0.59,0.805,0,-6.481,1,0.0371,0.137,0.0,0.0996,0.797,138.514,154200,4,spotify:track:5J2CHimS7dWYMImCHkEFaJ,https://api.spotify.com/v1/tracks/5J2CHimS7dWYMImCHkEFaJ,https://api.spotify.com/v1/audio-analysis/5J2CHimS7dWYMImCHkEFaJ,0
30,1966,I Will Wait for You,Connie Francis,0.301,0.308,10,-10.733,0,0.0312,0.911,1.87e-05,0.223,0.254,96.32,190760,4,spotify:track:6qziCLmMT1n8IevVTWl950,https://api.spotify.com/v1/tracks/6qziCLmMT1n8IevVTWl950,https://api.spotify.com/v1/audio-analysis/6qziCLmMT1n8IevVTWl950,0
31,1966,King of the Road,Roger Miller,0.67,0.272,11,-13.699,1,0.0704,0.717,0.0,0.178,0.613,117.996,147307,4,spotify:track:3XG7bMVcMWLIn2k9jLAaAt,https://api.spotify.com/v1/tracks/3XG7bMVcMWLIn2k9jLAaAt,https://api.spotify.com/v1/audio-analysis/3XG7bMVcMWLIn2k9jLAaAt,0
32,1966,"""The Shadow of Your Smile""",Tony Bennett,0.306,0.098,7,-17.247,1,0.032,0.941,0.0508,0.0974,0.0966,110.333,217893,4,spotify:track:66YI4JFp7BcMcepibGprsN,https://api.spotify.com/v1/tracks/66YI4JFp7BcMcepibGprsN,https://api.spotify.com/v1/audio-analysis/66YI4JFp7BcMcepibGprsN,1
33,1966,The September of My Years,Frank Sinatra,0.162,0.146,9,-16.497,1,0.0349,0.822,0.0,0.113,0.165,63.381,195480,3,spotify:track:7aEqYB9fGCGtq8aYL6ugQU,https://api.spotify.com/v1/tracks/7aEqYB9fGCGtq8aYL6ugQU,https://api.spotify.com/v1/audio-analysis/7aEqYB9fGCGtq8aYL6ugQU,0
34,1966,Yesterday,The Beatles,0.332,0.179,5,-11.83,1,0.0326,0.879,0.0,0.0886,0.315,96.529,125667,4,spotify:track:3BQHpFgAp4l80e1XslIjNI,https://api.spotify.com/v1/tracks/3BQHpFgAp4l80e1XslIjNI,https://api.spotify.com/v1/audio-analysis/3BQHpFgAp4l80e1XslIjNI,0
35,1967,"""Michelle""",The Beatles,0.578,0.29,5,-12.501,0,0.0341,0.652,0.0,0.105,0.666,117.403,162373,4,spotify:track:5By7Pzgl6TMuVJG168VWzS,https://api.spotify.com/v1/tracks/5By7Pzgl6TMuVJG168VWzS,https://api.spotify.com/v1/audio-analysis/5By7Pzgl6TMuVJG168VWzS,1
36,1967,Strangers in the Night,Frank Sinatra,0.259,0.473,5,-8.275,1,0.0295,0.592,0.0,0.201,0.539,90.348,157867,4,spotify:track:74VR3AkGPhbYXnxcOYa16x,https://api.spotify.com/v1/tracks/74VR3AkGPhbYXnxcOYa16x,https://api.spotify.com/v1/audio-analysis/74VR3AkGPhbYXnxcOYa16x,0
37,1967,"Somewhere, My Love",Ray Conniff,0.477,0.259,7,-16.096,1,0.0264,0.867,0.0,0.238,0.374,88.59,148627,3,spotify:track:1IYn7ytdb8byvHKS7S3Cat,https://api.spotify.com/v1/tracks/1IYn7ytdb8byvHKS7S3Cat,https://api.spotify.com/v1/audio-analysis/1IYn7ytdb8byvHKS7S3Cat,0
38,1967,The Impossible Dream,Richard Kiley,0.341,0.397,10,-11.389,1,0.0411,0.944,0.00076,0.108,0.382,85.186,142800,3,spotify:track:217RsQ8R5s4KgtGA7Sbgor,https://api.spotify.com/v1/tracks/217RsQ8R5s4KgtGA7Sbgor,https://api.spotify.com/v1/audio-analysis/217RsQ8R5s4KgtGA7Sbgor,0
39,1967,Born Free,Various Artists,0.0935,0.0962,5,-19.194,1,0.039,0.918,0.784,0.166,0.0388,60.483,166162,3,spotify:track:0ao9T6DPJdH2LFND6DigRR,https://api.spotify.com/v1/tracks/0ao9T6DPJdH2LFND6DigRR,https://api.spotify.com/v1/audio-analysis/0ao9T6DPJdH2LFND6DigRR,0
40,1968,"""Up, Up, and Away"" *",The 5th Dimension,0.393,0.362,7,-14.601,0,0.0305,0.599,0.0,0.333,0.515,107.645,163347,5,spotify:track:3JdToGxgvH9SnO1a605Ztr,https://api.spotify.com/v1/tracks/3JdToGxgvH9SnO1a605Ztr,https://api.spotify.com/v1/audio-analysis/3JdToGxgvH9SnO1a605Ztr,1
41,1968,Ode to Billie Joe,Bobbie Gentry,0.637,0.189,7,-10.726,1,0.0471,0.721,0.0,0.0939,0.695,120.142,255002,4,spotify:track:4FdDorlbJTVHcH3djLbIfn,https://api.spotify.com/v1/tracks/4FdDorlbJTVHcH3djLbIfn,https://api.spotify.com/v1/audio-analysis/4FdDorlbJTVHcH3djLbIfn,0
42,1968,By the Time I Get to Phoenix,Glen Campbell,0.218,0.336,5,-12.997,1,0.0301,0.0743,1.61e-06,0.134,0.232,176.66,164200,4,spotify:track:1tZKsxgKebVQX9s6oiojG9,https://api.spotify.com/v1/tracks/1tZKsxgKebVQX9s6oiojG9,https://api.spotify.com/v1/audio-analysis/1tZKsxgKebVQX9s6oiojG9,0
43,1968,My Cup Runneth Over,Ed Ames,0.344,0.365,7,-9.628,1,0.0279,0.801,0.000509,0.0712,0.359,100.79,164827,3,spotify:track:40BvPdq2rwYIoioUgjKHoK,https://api.spotify.com/v1/tracks/40BvPdq2rwYIoioUgjKHoK,https://api.spotify.com/v1/audio-analysis/40BvPdq2rwYIoioUgjKHoK,0
44,1968,Gentle on My Mind,Glen Campbell,0.597,0.415,3,-13.799,1,0.0323,0.189,0.0,0.123,0.826,108.987,178627,4,spotify:track:0mLoTgCB8oU0sJGojRtvDu,https://api.spotify.com/v1/tracks/0mLoTgCB8oU0sJGojRtvDu,https://api.spotify.com/v1/audio-analysis/0mLoTgCB8oU0sJGojRtvDu,0
45,1969,"""Little Green Apples""",O. C. Smith,0.451,0.358,6,-17.064,1,0.0517,0.556,4.44e-06,0.102,0.421,168.147,250594,4,spotify:track:40uG3QadBzPpToV2FbPtuF,https://api.spotify.com/v1/tracks/40uG3QadBzPpToV2FbPtuF,https://api.spotify.com/v1/audio-analysis/40uG3QadBzPpToV2FbPtuF,1
46,1969,Harper Valley PTA,Jeannie C. Riley,0.763,0.667,4,-6.999,1,0.0332,0.612,0.00133,0.088,0.869,122.778,195547,4,spotify:track:4mjHSVgH9wLL1btWfqtxAl,https://api.spotify.com/v1/tracks/4mjHSVgH9wLL1btWfqtxAl,https://api.spotify.com/v1/audio-analysis/4mjHSVgH9wLL1btWfqtxAl,0
47,1969,Hey Jude,The Beatles,0.386,0.607,10,-7.7,1,0.0261,0.0112,1.38e-05,0.088,0.532,147.207,425653,4,spotify:track:0aym2LBJBk9DAYuHHutrIl,https://api.spotify.com/v1/tracks/0aym2LBJBk9DAYuHHutrIl,https://api.spotify.com/v1/audio-analysis/0aym2LBJBk9DAYuHHutrIl,0
48,1969,Honey,Bobby Goldsboro,0.399,0.278,7,-13.122,1,0.0291,0.674,0.000694,0.203,0.597,93.189,238733,4,spotify:track:2Qhvi6R73Zj3cpzRYzcAww,https://api.spotify.com/v1/tracks/2Qhvi6R73Zj3cpzRYzcAww,https://api.spotify.com/v1/audio-analysis/2Qhvi6R73Zj3cpzRYzcAww,0
49,1969,Mrs. Robinson,Simon & Garfunkel,0.606,0.457,6,-14.035,0,0.0497,0.713,2.53e-05,0.0747,0.813,92.033,244027,4,spotify:track:0iOZM63lendWRTTeKhZBSC,https://api.spotify.com/v1/tracks/0iOZM63lendWRTTeKhZBSC,https://api.spotify.com/v1/audio-analysis/0iOZM63lendWRTTeKhZBSC,0
50,1970,A Time For Us,Henry Mancini,0.391,0.175,5,-16.646,1,0.028,0.963,0.965,0.122,0.116,82.431,146588,3,spotify:track:23fPMwqBpMxUaZwiTHUU7s,https://api.spotify.com/v1/tracks/23fPMwqBpMxUaZwiTHUU7s,https://api.spotify.com/v1/audio-analysis/23fPMwqBpMxUaZwiTHUU7s,0
51,1970,Spinning Wheel,"Blood, Sweat & Tears",0.695,0.503,7,-9.313,1,0.0605,0.315,2.47e-05,0.261,0.542,96.818,247267,4,spotify:track:0spSRHFS4zF4Imvz9sJcfL,https://api.spotify.com/v1/tracks/0spSRHFS4zF4Imvz9sJcfL,https://api.spotify.com/v1/audio-analysis/0spSRHFS4zF4Imvz9sJcfL,0
